,Image_Name,Method,Tile_Size,Clip_Limit,Entropy,StdDev,SSIM,Bhattacharyya,LCV,Overall_Score
12,D1.jpg,CLAHE,32,8,7.9046714660131,0.245184224230861,0.0865566997384629,0.727461304687718,0.0451344942661669,0.5445528334984999
15,D2.jpg,CLAHE,8,4,7.84794972614097,0.260727965108037,0.402823426279037,0.518228424990184,0.0090546268255664,0.6105323790746097
29,D3.jpg,CLAHE,8,6,7.53206537843722,0.231852293044679,0.280458449199937,0.659563135549121,0.0051372892771363,0.40359243642723047
43,D4.jpg,CLAHE,8,8,7.82576268061892,0.226544626922452,0.227392318224781,0.697021811527768,0.0144517173591812,0.45476684471459966
60,D5.jpg,CLAHE,16,8,7.96615527491028,0.265547363411818,0.142446581806288,0.730034009168288,0.0439453570455394,0.5967087903433266
68,L1.jpg,CLAHE,8,6,7.74290189305744,0.274918167333682,0.544194712434147,0.488296216985991,0.0107674974522317,0.6681575752464048
81,L2.jpg,CLAHE,8,6,7.8931309997776,0.26251746856804,0.538515751942747,0.368949447557891,0.0139365029970918,0.7359364594868634
95,L3.jpg,CLAHE,8,8,7.73313975413334,0.29438378380144,0.609443608523357,0.517603485455582,0.0158637476048407,0.7178536332011363
107,L4.jpg,CLAHE,8,6,7.66738884506937,0.281797574363843,0.682893026833522,0.513943207147189,0.0074842553677444,0.6823897201421052
127,L5.jpg,CLAHE,32,4,7.96493544108053,0.280134573886004,0.531760409218642,0.462633670678029,0.0416542653690924,0.8273602933946289
