,Image_Name,Method,Num_Bins,Entropy,StdDev,SSIM,Bhattacharyya,LCV,Overall_Score
4,D1.jpg,GHE,256,5.23585476490677,0.289491677626941,0.195120718615054,0.922788099488956,0.0178559888685705,0.4497207628576394
9,D2.jpg,GHE,256,6.34638524303946,0.289771848810096,0.536572107417458,0.84358884819649,0.0032108884965353,0.5472216906949374
14,D3.jpg,GHE,256,4.88584578185577,0.289301389334578,0.223196898619766,0.96834198281276,0.0045762886631065,0.3352255519410001
19,D4.jpg,GHE,256,5.83503218426726,0.289660662464101,0.426672814492157,0.888819809925606,0.0055583440561628,0.4846512270314463
23,D5.jpg,GHE,128,5.49326772431654,0.290790798430046,0.28448977637967,0.872849041129566,0.0223398706078902,0.5310321384404129
29,L1.jpg,GHE,256,6.07673651648664,0.28887926687917,0.583925212440399,0.719532445717669,0.0037340704967625,0.5575805699693752
34,L2.jpg,GHE,256,6.98750110438965,0.290000304135845,0.810937530393202,0.633443210958211,0.0060140984687947,0.7195447019728161
39,L3.jpg,GHE,256,6.12359273094692,0.288326947863742,0.680349592968891,0.748018099751888,0.0048577349476169,0.5873955302378304
44,L4.jpg,GHE,256,6.06366674994917,0.2883391372649,0.654992499763915,0.734484491549529,0.004435778445896,0.5755114823132331
49,L5.jpg,GHE,256,6.8202615130937,0.289898432519291,0.6237867743009,0.764821655426695,0.0223644286109359,0.7429348407531833
